model,test_score_mean,test_score_std,fit_time_mean,fit_time_std,score_time_mean,score_time_std,parameter_num,hidden_layer_sizes,activation_function,learning_rate,num_iter
"MLP-relu-0.0001-(5,)",0.9470872927496062,0.03318620307383498,7.5430260181427,0.6355438066581368,0.0039536476135253905,0.00042421303701858226,167.0,"(5,)",relu,0.0001,292.0
"MLP-relu-0.0001-(32,)",0.9554967936964207,0.02063734130803352,6.2821887016296385,0.7151636150092668,0.003764486312866211,0.0003551399028162763,1058.0,"(32,)",relu,0.0001,239.0
"MLP-relu-0.0001-(16, 16)",0.9015430609180608,0.0636184116052161,7.28206467628479,1.1592219920348108,0.0036293983459472655,0.0009392255634535137,802.0,"(16, 16)",relu,0.0001,209.8
"MLP-relu-0.0001-(10, 5, 5)",0.9024064686845193,0.05298918280671438,9.683090257644654,0.8421884230583898,0.003629255294799805,0.0005880756987797115,407.0,"(10, 5, 5)",relu,0.0001,218.8
"MLP-relu-0.0001-(16, 8, 8)",0.9015430609180608,0.0636184116052161,8.521549415588378,1.465462697394282,0.003512716293334961,0.0007969977367768691,722.0,"(16, 8, 8)",relu,0.0001,199.6
"MLP-relu-0.0001-(64, 32, 32)",0.7865184958475748,0.15648923847346022,3.4558090209960937,2.639080159895926,0.003599262237548828,0.0006900738786597126,5186.0,"(64, 32, 32)",relu,0.0001,79.8
"MLP-relu-0.001-(5,)",0.9733320060525943,0.025936222114051857,2.3433327674865723,0.4752124036627246,0.0041615962982177734,0.0009230499486593884,167.0,"(5,)",relu,0.001,91.2
"MLP-relu-0.001-(32,)",0.9734477124183007,0.021699887010698297,2.3184783458709717,0.3928090898674886,0.00360870361328125,0.000531096573150133,1058.0,"(32,)",relu,0.001,92.0
"MLP-relu-0.001-(16, 16)",0.96904200176259,0.022748462539303512,3.4268786907196045,0.8228191166694102,0.003182840347290039,0.000315463059803059,802.0,"(16, 16)",relu,0.001,95.8
"MLP-relu-0.001-(10, 5, 5)",0.9646463973669857,0.017961616676952473,4.729234504699707,0.7800743785885476,0.00325627326965332,0.0004654180654862433,407.0,"(10, 5, 5)",relu,0.001,104.0
"MLP-relu-0.001-(16, 8, 8)",0.9735482593938476,0.0168373286277927,4.335820150375366,1.008495945320846,0.0032492637634277343,0.0003190568201769624,722.0,"(16, 8, 8)",relu,0.001,99.8
"MLP-relu-0.001-(64, 32, 32)",0.4208501525574696,0.0378925262204722,0.03534369468688965,0.012428516695633574,0.0041429996490478516,0.0006281758143082337,5186.0,"(64, 32, 32)",relu,0.001,0.2
"MLP-relu-0.01-(5,)",0.9778382636838518,0.02000067438432277,0.6352649688720703,0.2154402339303683,0.003661441802978516,0.0008707488655655028,167.0,"(5,)",relu,0.01,25.6
"MLP-relu-0.01-(32,)",0.9734477124183007,0.021699887010698297,0.6457312107086182,0.23639421502142316,0.0035656452178955077,0.000634442628211795,1058.0,"(32,)",relu,0.01,25.0
"MLP-relu-0.01-(16, 16)",0.5086109112894314,0.21306036328934938,0.17836470603942872,0.09079122971297071,0.0035765647888183595,0.0006003595208931717,802.0,"(16, 16)",relu,0.01,5.0
"MLP-relu-0.01-(10, 5, 5)",0.808443180152621,0.053014983294921714,0.10430769920349121,0.03817323198871568,0.003687477111816406,0.0007755610540562686,407.0,"(10, 5, 5)",relu,0.01,1.4
"MLP-relu-0.01-(16, 8, 8)",0.3917131942403761,0.002938583602703515,0.02938981056213379,0.011151726882140108,0.003705930709838867,0.0007953885415521572,722.0,"(16, 8, 8)",relu,0.01,0.0
"MLP-relu-0.01-(64, 32, 32)",0.4208501525574696,0.0378925262204722,0.007971382141113282,0.0013936549046791068,0.004068946838378907,0.00038264150060500414,5186.0,"(64, 32, 32)",relu,0.01,0.0
"MLP-relu-0.1-(5,)",0.8814887892093776,0.08126201907146968,0.1425489902496338,0.09384749521040296,0.003326129913330078,0.0006624114364930247,167.0,"(5,)",relu,0.1,6.0
"MLP-relu-0.1-(32,)",0.35074071268364926,0.015110325839051822,0.039874696731567384,0.02181019498294654,0.0039996147155761715,0.0006188745756064064,1058.0,"(32,)",relu,0.1,1.0
"MLP-relu-0.1-(16, 16)",0.4016975046097956,0.023474020285836616,0.006976318359375,0.001256989368216719,0.003950977325439453,0.00037927210913180797,802.0,"(16, 16)",relu,0.1,0.0
"MLP-relu-0.1-(10, 5, 5)",0.808443180152621,0.053014983294921714,0.007549428939819336,0.0010804074598653843,0.004343080520629883,0.0003586829643174747,407.0,"(10, 5, 5)",relu,0.1,0.0
"MLP-relu-0.1-(16, 8, 8)",0.3917131942403761,0.002938583602703515,0.008194160461425782,0.0017900805833399563,0.004205179214477539,0.0005297187059507854,722.0,"(16, 8, 8)",relu,0.1,0.0
"MLP-relu-0.1-(64, 32, 32)",0.4208501525574696,0.0378925262204722,0.007283687591552734,0.0007048211314359386,0.004286336898803711,0.0006171646879047409,5186.0,"(64, 32, 32)",relu,0.1,0.0
"MLP-relu-0.5-(5,)",0.8423964405582053,0.04713416160712383,0.00826730728149414,0.0008609502618713895,0.004289960861206055,0.00032553811434110684,167.0,"(5,)",relu,0.5,0.0
