model,test_score_mean,test_score_std,fit_time_mean,fit_time_std,score_time_mean,score_time_std,parameter_num,hidden_layer_sizes,activation_function,learning_rate,num_iter
"MLP-relu-0.0001-(5,)",0.6869618565519747,0.016567112712983712,195.44045600891113,10.348554410087763,0.012875032424926759,0.00035114138751563527,912,"(5,)",relu,0.0001,217.0
"MLP-relu-0.0001-(32,)",0.6374826967482388,0.015374359350435992,227.99779329299926,8.737822867203683,0.01861419677734375,0.0022416233919740516,5799,"(32,)",relu,0.0001,190.4
"MLP-relu-0.0001-(16, 16)",0.6734231258874678,0.015512864383588985,220.4944221496582,16.71312719152796,0.016936302185058594,0.005811629541107928,3175,"(16, 16)",relu,0.0001,140.0
"MLP-relu-0.0001-(10, 5, 5)",0.5785406795123352,0.24158379956633697,177.74128432273864,10.0175262755187,0.022197246551513672,0.010148048238437903,1867,"(10, 5, 5)",relu,0.0001,85.4
"MLP-relu-0.0001-(16, 8, 8)",0.5390625482843033,0.22946431730301992,137.54277939796447,9.86645931015066,0.012555980682373047,0.0007065334260107624,3055,"(16, 8, 8)",relu,0.0001,90.2
"MLP-relu-0.0001-(64, 32, 32)",0.04574362610888418,0.002759678362933634,0.9707172870635986,0.5134384610168311,0.016173171997070312,0.0013916352677995252,14503,"(64, 32, 32)",relu,0.0001,0.0
"MLP-relu-0.001-(5,)",0.6942581702460248,0.028036992881020434,74.04608564376831,4.702816264485817,0.012438678741455078,0.0007971382571251352,912,"(5,)",relu,0.001,87.0
"MLP-relu-0.001-(32,)",0.6295795286472751,0.006847196500092519,47.4050199508667,3.3172540664462473,0.015677642822265626,0.0038517597603175513,5799,"(32,)",relu,0.001,43.0
"MLP-relu-0.001-(16, 16)",0.0737858658222653,0.0023051757281461094,2.571199560165405,0.44481532023069703,0.015334844589233398,0.003306678114826201,3175,"(16, 16)",relu,0.001,1.2
"MLP-relu-0.001-(10, 5, 5)",0.0895311026127364,0.003964392555897174,1.7796174526214599,0.2568168611039403,0.014232587814331055,0.0012854687899464226,1867,"(10, 5, 5)",relu,0.001,0.8
"MLP-relu-0.001-(16, 8, 8)",0.086300932215263,0.004569238691478127,0.8932617664337158,0.09026508566581809,0.015009641647338867,0.0009750021845783792,3055,"(16, 8, 8)",relu,0.001,0.0
"MLP-relu-0.001-(64, 32, 32)",0.04574362610888418,0.002759678362933634,0.22294020652770996,0.017618386190199748,0.024680900573730468,0.004611756898287888,14503,"(64, 32, 32)",relu,0.001,0.0
