model,test_score_mean,test_score_std,fit_time_mean,fit_time_std,score_time_mean,score_time_std,parameter_num,hidden_layer_sizes,activation_function,learning_rate,num_iter
"MLP-relu-0.0001-(5,)",0.38308658008658003,0.12670635502182195,0.4420816898345947,0.40048700344340105,0.004075813293457031,0.0008228174446471958,117.0,"(5,)",relu,0.0001,24.0
"MLP-relu-0.0001-(32,)",0.3690689655172414,0.041663906369131934,2.185655117034912,3.184402415011121,0.003963327407836914,0.0010209732378030935,738.0,"(32,)",relu,0.0001,127.8
"MLP-relu-0.0001-(16, 16)",0.31480967210352057,0.12206717206820748,0.7864051818847656,0.39979707509194246,0.0032648086547851563,0.0002144116508489556,642.0,"(16, 16)",relu,0.0001,30.4
"MLP-relu-0.0001-(10, 5, 5)",0.4361786236786237,0.1371500198493408,0.9646292209625245,0.4493213245485035,0.0035638332366943358,0.0007043404485737496,307.0,"(10, 5, 5)",relu,0.0001,33.2
"MLP-relu-0.0001-(16, 8, 8)",0.3792495630730925,0.0546702452027077,1.2636732578277587,0.16832594922805916,0.004029178619384765,0.0007235626339686663,562.0,"(16, 8, 8)",relu,0.0001,36.8
"MLP-relu-0.0001-(64, 32, 32)",0.2913708513708514,0.13475273793759074,0.46993269920349123,0.03717683561305325,0.003763628005981445,0.0005474443914394203,4546.0,"(64, 32, 32)",relu,0.0001,11.0
"MLP-relu-0.001-(5,)",0.4654648830858508,0.12587812467667545,3.3291179656982424,1.0988840553701276,0.0036298751831054686,0.0007568603317497858,117.0,"(5,)",relu,0.001,180.4
"MLP-relu-0.001-(32,)",0.5172714540361599,0.09695170096972941,4.947775983810425,0.3323414696359874,0.0034074306488037108,0.0006750936543415058,738.0,"(32,)",relu,0.001,243.0
"MLP-relu-0.001-(16, 16)",0.48433919022154315,0.12375440255051538,2.5160146236419676,1.8781207909439772,0.003586578369140625,0.0005639133045033572,642.0,"(16, 16)",relu,0.001,114.4
"MLP-relu-0.001-(10, 5, 5)",0.45565009702940734,0.10349363462424818,1.4411020278930664,1.8839832077386487,0.003005313873291016,0.00022708667659171913,307.0,"(10, 5, 5)",relu,0.001,51.4
"MLP-relu-0.001-(16, 8, 8)",0.40170777498363713,0.07096771673893464,0.465789794921875,0.0808440382345313,0.0035611629486083985,0.0005470473352097385,562.0,"(16, 8, 8)",relu,0.001,13.8
"MLP-relu-0.001-(64, 32, 32)",0.24290172070492436,0.17122273751849731,0.674465560913086,0.18846965095736898,0.003494882583618164,0.0006329058828435026,4546.0,"(64, 32, 32)",relu,0.001,19.2
"MLP-relu-0.01-(5,)",0.5003662779872456,0.10807601619540637,0.914159107208252,0.3265874889701902,0.0033193111419677736,0.000656507754309952,117.0,"(5,)",relu,0.01,56.0
"MLP-relu-0.01-(32,)",0.5254201680672269,0.10235872493582075,1.2256181240081787,0.2944327971919292,0.004080772399902344,0.0007245211971947176,738.0,"(32,)",relu,0.01,66.2
"MLP-relu-0.01-(16, 16)",0.4346041055718475,0.07161560006503004,1.0396682262420653,0.4255259894153918,0.0038421630859375,0.000672198737216694,642.0,"(16, 16)",relu,0.01,41.0
"MLP-relu-0.01-(10, 5, 5)",0.4763636363636364,0.11511535849154393,1.0020432472229004,0.5292441731414815,0.003325653076171875,0.0007023178021533517,307.0,"(10, 5, 5)",relu,0.01,34.0
"MLP-relu-0.01-(16, 8, 8)",0.227234753550543,0.11533664063774313,0.45601530075073243,0.42869598888483096,0.0037465572357177736,0.0008994130412723642,562.0,"(16, 8, 8)",relu,0.01,15.6
"MLP-relu-0.01-(64, 32, 32)",0.3363844393592677,0.1681571905800809,0.02175297737121582,0.005897609523750063,0.0037935733795166015,0.0006646314741696664,4546.0,"(64, 32, 32)",relu,0.01,0.0
"MLP-relu-0.1-(5,)",0.42368347338935575,0.13891468002733023,0.1341245651245117,0.09651827377308989,0.0037031173706054688,0.0011222672959623542,117.0,"(5,)",relu,0.1,7.6
"MLP-relu-0.1-(32,)",0.49850834350834355,0.11536502522987149,0.07302584648132324,0.015674271753940094,0.003900289535522461,0.0005333300726800257,738.0,"(32,)",relu,0.1,3.0
"MLP-relu-0.1-(16, 16)",0.43882294501489544,0.0267023504036052,0.014267444610595703,0.00520099017360925,0.0035225391387939454,0.0005777066783182951,642.0,"(16, 16)",relu,0.1,0.0
"MLP-relu-0.1-(10, 5, 5)",0.28035076453436936,0.098463913611519,0.01424403190612793,0.0051066431275306945,0.004325151443481445,0.0004445491986961644,307.0,"(10, 5, 5)",relu,0.1,0.0
"MLP-relu-0.1-(16, 8, 8)",0.16443282118339325,0.042385078456639746,0.011469507217407226,0.0017950738632609685,0.0042301654815673825,0.000884889810855515,562.0,"(16, 8, 8)",relu,0.1,0.0
"MLP-relu-0.1-(64, 32, 32)",0.3363844393592677,0.1681571905800809,0.01076521873474121,0.0024010026579665456,0.004355382919311523,0.0003847928262973522,4546.0,"(64, 32, 32)",relu,0.1,0.0
"MLP-relu-0.5-(5,)",0.3954481792717087,0.1099391245873563,0.010848140716552735,0.0029199875289836865,0.0038825035095214843,0.0005298752719416633,117.0,"(5,)",relu,0.5,0.0
"MLP-relu-0.5-(32,)",0.49850834350834355,0.11536502522987149,0.011338949203491211,0.002487060621222827,0.003908109664916992,0.0004170995336877701,738.0,"(32,)",relu,0.5,0.0
"MLP-relu-0.5-(16, 16)",0.43882294501489544,0.0267023504036052,0.010868263244628907,0.0015810126776968528,0.004009103775024414,0.0003487875451603525,642.0,"(16, 16)",relu,0.5,0.0
"MLP-relu-0.5-(10, 5, 5)",0.28035076453436936,0.098463913611519,0.009494352340698241,0.0014336767019787178,0.003906917572021484,0.0006382117103391863,307.0,"(10, 5, 5)",relu,0.5,0.0
"MLP-relu-0.5-(16, 8, 8)",0.16443282118339325,0.042385078456639746,0.008615446090698243,0.002037003922737224,0.0039847373962402345,0.0006385855741467192,562.0,"(16, 8, 8)",relu,0.5,0.0
"MLP-relu-0.5-(64, 32, 32)",0.3363844393592677,0.1681571905800809,0.010688352584838866,0.0004962364923563079,0.004332637786865235,0.0005649289387410216,4546.0,"(64, 32, 32)",relu,0.5,0.0
"MLP-sigmoid-0.0001-(5,)",0.2676343264578559,0.1352818363226069,2.902629518508911,0.27187756202326313,0.0034357547760009766,0.000561293839792135,117.0,"(5,)",sigmoid,0.0001,140.6
"MLP-sigmoid-0.0001-(32,)",0.30775387916989694,0.06350526253124339,1.627423095703125,0.9641607071368827,0.003477001190185547,0.0007354242594655683,738.0,"(32,)",sigmoid,0.0001,84.8
"MLP-sigmoid-0.0001-(16, 16)",0.5749243697478991,0.24524657229628608,1.0593466281890869,0.5969426278925253,0.003121805191040039,0.00017372529073877519,642.0,"(16, 16)",sigmoid,0.0001,40.4
"MLP-sigmoid-0.0001-(10, 5, 5)",0.2383292383292383,0.18055206949261754,2.089782190322876,0.8501313942415089,0.003971672058105469,0.0007354799549584895,307.0,"(10, 5, 5)",sigmoid,0.0001,62.0
"MLP-sigmoid-0.0001-(16, 8, 8)",0.2383292383292383,0.18055206949261754,3.7450557708740235,0.38347777729326665,0.00367121696472168,0.0007241349845686581,562.0,"(16, 8, 8)",sigmoid,0.0001,96.0
"MLP-sigmoid-0.0001-(64, 32, 32)",0.2908817908817909,0.2586272376433488,1.6147182941436768,0.13919331879035618,0.003465747833251953,0.0005352961832274424,4546.0,"(64, 32, 32)",sigmoid,0.0001,38.2
"MLP-sigmoid-0.001-(5,)",0.4459348984348985,0.14403937823242377,5.265822124481201,2.700687260134433,0.003314304351806641,0.0006131129347010318,117.0,"(5,)",sigmoid,0.001,295.4
"MLP-sigmoid-0.001-(32,)",0.5387624291635283,0.12145839529696864,6.312138223648072,1.889144444690331,0.003612327575683594,0.0008840235737084481,738.0,"(32,)",sigmoid,0.001,318.6
"MLP-sigmoid-0.001-(16, 16)",0.3621193621193622,0.09271916928920423,0.5696770191192627,0.1793035016559062,0.0032947540283203127,0.000623261506173858,642.0,"(16, 16)",sigmoid,0.001,17.4
