bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length
PrideRectangle_BR_3,-2,1000,0.98,0.3,0.29925844,40000,100,normal,0,21
PrideRectangle_BR_3,-1,1000,0.98,0.3,0.29925844,40000,100,normal,0,21
PrideRectangle_BR_3,0,1000,0.98,0.3,0.29925844,40000,100,normal,0,21
PrideRectangle_BR_3,1,1000,0.98,0.3,0.29925844,40000,100,normal,0,21
PrideRectangle_BR_3,2,1000,0.98,0.3,0.29925844,40000,100,normal,0,21
PrideRectangle_BR_3,-2,1000,0.98,0.3,0.29851124,40000,200,normal,0,21
PrideRectangle_BR_3,-1,1000,0.98,0.3,0.29851124,40000,200,normal,0,21
PrideRectangle_BR_3,0,1000,0.98,0.3,0.29851124,40000,200,normal,0,21
PrideRectangle_BR_3,1,1000,0.98,0.3,0.29851124,40000,200,normal,0,21
PrideRectangle_BR_3,2,1000,0.98,0.3,0.29851124,40000,200,normal,0,21
PrideRectangle_BR_3,-2,1000,0.98,0.3,0.29776588,40000,300,normal,0,21
PrideRectangle_BR_3,-1,1000,0.98,0.3,0.29776588,40000,300,normal,0,21
PrideRectangle_BR_3,0,1000,0.98,0.3,0.29776588,40000,300,normal,0,21
PrideRectangle_BR_3,1,1000,0.98,0.3,0.29776588,40000,300,normal,0,21
PrideRectangle_BR_3,2,1000,0.98,0.3,0.29776588,40000,300,normal,0,21
PrideRectangle_BR_3,-2,1000,0.98,0.3,0.29702237,40000,400,normal,0,21
PrideRectangle_BR_3,-1,1000,0.98,0.3,0.29702237,40000,400,normal,0,21
PrideRectangle_BR_3,0,1000,0.98,0.3,0.29702237,40000,400,normal,0,21
PrideRectangle_BR_3,1,1000,0.98,0.3,0.29702237,40000,400,normal,0,21
PrideRectangle_BR_3,2,1000,0.98,0.3,0.29702237,40000,400,normal,0,21
PrideRectangle_BR_3,-2,1000,0.98,0.3,0.29628074,40000,500,normal,0,21
PrideRectangle_BR_3,-1,1000,0.98,0.3,0.29628074,40000,500,normal,0,21
