bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length
SlavicGrandmaTextil,-2,119,0.98,0.01,0.009975281,40000,100,normal,0,18
SlavicGrandmaTextil,-1,125,0.98,0.01,0.009975281,40000,100,normal,0,18
SlavicGrandmaTextil,0,155,0.98,0.01,0.009975281,40000,100,normal,0,18
SlavicGrandmaTextil,1,175,0.98,0.01,0.009975281,40000,100,normal,0,18
SlavicGrandmaTextil,2,661,0.98,0.01,0.009975281,40000,100,normal,0,18
SlavicGrandmaTextil,-2,119,0.98,0.01,0.009950373,40000,200,normal,0,18
SlavicGrandmaTextil,-1,365,0.98,0.01,0.009950373,40000,200,normal,0,18
SlavicGrandmaTextil,0,155,0.98,0.01,0.009950373,40000,200,normal,0,18
SlavicGrandmaTextil,1,159,0.98,0.01,0.009950373,40000,200,normal,0,18
SlavicGrandmaTextil,2,399,0.98,0.01,0.009950373,40000,200,normal,0,18
SlavicGrandmaTextil,-2,119,0.98,0.01,0.009925528,40000,300,normal,0,18
SlavicGrandmaTextil,-1,193,0.98,0.01,0.009925528,40000,300,normal,0,18
SlavicGrandmaTextil,0,157,0.98,0.01,0.009925528,40000,300,normal,0,18
SlavicGrandmaTextil,1,187,0.98,0.01,0.009925528,40000,300,normal,0,18
SlavicGrandmaTextil,2,121,0.98,0.01,0.009925528,40000,300,normal,0,18
SlavicGrandmaTextil,-2,119,0.98,0.01,0.009900746,40000,400,normal,0,18
SlavicGrandmaTextil,-1,337,0.98,0.01,0.009900746,40000,400,normal,0,18
SlavicGrandmaTextil,0,155,0.98,0.01,0.009900746,40000,400,normal,0,18
SlavicGrandmaTextil,1,211,0.98,0.01,0.009900746,40000,400,normal,0,18
SlavicGrandmaTextil,2,121,0.98,0.01,0.009900746,40000,400,normal,0,18
SlavicGrandmaTextil,-2,119,0.98,0.01,0.009876025,40000,500,normal,0,18
SlavicGrandmaTextil,-1,127,0.98,0.01,0.009876025,40000,500,normal,0,18
SlavicGrandmaTextil,0,229,0.98,0.01,0.009876025,40000,500,normal,0,18
SlavicGrandmaTextil,1,207,0.98,0.01,0.009876025,40000,500,normal,0,18
SlavicGrandmaTextil,2,121,0.98,0.01,0.009876025,40000,500,normal,0,18
SlavicGrandmaTextil,-2,119,0.98,0.01,0.009851365,40000,600,normal,0,18
SlavicGrandmaTextil,-1,1000,0.98,0.01,0.009851365,40000,600,normal,0,18
SlavicGrandmaTextil,0,1000,0.98,0.01,0.009851365,40000,600,normal,0,18
SlavicGrandmaTextil,1,1000,0.98,0.01,0.009851365,40000,600,normal,0,18
SlavicGrandmaTextil,2,121,0.98,0.01,0.009851365,40000,600,normal,0,18
