,bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length,run
0,PrideRectangle_BR_5,2,557,0.98,0.01,0.0036788862,40000,40000,normal,161,35,2
1,PrideRectangle_BR_5,2,436,0.98,0.03,0.011036659,40000,40000,normal,221,35,2
2,PrideRectangle_BR_5,2,1000,0.98,0.05,0.018394431,40000,40000,normal,279,35,2
3,PrideRectangle_BR_5,2,390,0.98,0.1,0.036788862,40000,40000,normal,334,35,2
4,PrideRectangle_BR_5,2,200,0.98,0.3,0.11036659,40000,40000,normal,427,35,2
6,PrideRectangle_BR_1,2,94,0.98,0.03,0.011036659,40000,40000,normal,19,7,3
7,PrideRectangle_BR_1,2,142,0.98,0.05,0.018394431,40000,40000,normal,20,7,3
8,PrideRectangle_BR_1,2,93,0.98,0.1,0.036788862,40000,40000,normal,24,7,3
9,PrideRectangle_BR_1,2,94,0.98,0.3,0.11036659,40000,40000,normal,50,7,3
0,PrideRectangle_BR_1,2,172,0.98,0.01,0.0036788862,40000,40000,normal,15,7,2
1,PrideRectangle_BR_1,2,110,0.98,0.03,0.011036659,40000,40000,normal,18,7,2
2,PrideRectangle_BR_1,2,97,0.98,0.05,0.018394431,40000,40000,normal,21,7,2
3,PrideRectangle_BR_1,2,98,0.98,0.1,0.036788862,40000,40000,normal,21,7,2
4,PrideRectangle_BR_1,2,98,0.98,0.3,0.11036659,40000,40000,normal,52,7,2
0,PrideRectangle_BR_5,2,1000,0.98,0.01,0.0036788862,40000,40000,normal,151,35,3
1,PrideRectangle_BR_5,2,1000,0.98,0.03,0.011036659,40000,40000,normal,195,35,3
2,PrideRectangle_BR_5,2,170,0.98,0.05,0.018394431,40000,40000,normal,234,35,3
3,PrideRectangle_BR_5,2,288,0.98,0.1,0.036788862,40000,40000,normal,316,35,3
4,PrideRectangle_BR_5,2,1000,0.98,0.3,0.11036659,40000,40000,normal,496,35,3
0,PrideRectangle_BR_5,2,342,0.98,0.01,0.0036788862,40000,40000,normal,152,35,1
1,PrideRectangle_BR_5,2,256,0.98,0.03,0.011036659,40000,40000,normal,209,35,1
2,PrideRectangle_BR_5,2,252,0.98,0.05,0.018394431,40000,40000,normal,256,35,1
3,PrideRectangle_BR_5,2,1000,0.98,0.1,0.036788862,40000,40000,normal,336,35,1
4,PrideRectangle_BR_5,2,1000,0.98,0.3,0.11036659,40000,40000,normal,441,35,1
0,PrideRectangle_BR_1,2,110,0.98,0.01,0.0036788862,40000,40000,normal,16,7,1
1,PrideRectangle_BR_1,2,98,0.98,0.03,0.011036659,40000,40000,normal,17,7,1
2,PrideRectangle_BR_1,2,98,0.98,0.05,0.018394431,40000,40000,normal,17,7,1
3,PrideRectangle_BR_1,2,97,0.98,0.1,0.036788862,40000,40000,normal,21,7,1
4,PrideRectangle_BR_1,2,98,0.98,0.3,0.11036659,40000,40000,normal,62,7,1
0,PrideRectangle_BR_3,2,254,0.98,0.01,0.0036788862,40000,40000,normal,93,21,1
1,PrideRectangle_BR_3,2,208,0.98,0.03,0.011036659,40000,40000,normal,125,21,1
2,PrideRectangle_BR_3,2,240,0.98,0.05,0.018394431,40000,40000,normal,138,21,1
3,PrideRectangle_BR_3,2,1000,0.98,0.1,0.036788862,40000,40000,normal,221,21,1
4,PrideRectangle_BR_3,2,1000,0.98,0.3,0.11036659,40000,40000,normal,290,21,1
0,PrideRectangle_BR_3,2,200,0.98,0.01,0.0036788862,40000,40000,normal,95,21,2
1,PrideRectangle_BR_3,2,170,0.98,0.03,0.011036659,40000,40000,normal,87,21,2
2,PrideRectangle_BR_3,2,269,0.98,0.05,0.018394431,40000,40000,normal,129,21,2
3,PrideRectangle_BR_3,2,217,0.98,0.1,0.036788862,40000,40000,normal,160,21,2
4,PrideRectangle_BR_3,2,214,0.98,0.3,0.11036659,40000,40000,normal,289,21,2
6,PrideRectangle_BR_3,2,196,0.98,0.03,0.011036659,40000,40000,normal,105,21,3
7,PrideRectangle_BR_3,2,166,0.98,0.05,0.018394431,40000,40000,normal,129,21,3
8,PrideRectangle_BR_3,2,242,0.98,0.1,0.036788862,40000,40000,normal,157,21,3
9,PrideRectangle_BR_3,2,254,0.98,0.3,0.11036659,40000,40000,normal,303,21,3
