,bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length,run
0,RainbowStaircase,2,164,0.98,0.01,0.0036788862,40000,40000,normal,53,16,1
1,RainbowStaircase,2,100,0.98,0.03,0.011036659,40000,40000,normal,57,16,1
2,RainbowStaircase,2,137,0.98,0.05,0.018394431,40000,40000,normal,68,16,1
3,RainbowStaircase,2,148,0.98,0.1,0.036788862,40000,40000,normal,87,16,1
4,RainbowStaircase,2,1000,0.98,0.3,0.11036659,40000,40000,normal,177,16,1
0,RainbowStaircase,2,182,0.98,0.01,0.0036788862,40000,40000,normal,38,16,1
1,RainbowStaircase,2,108,0.98,0.03,0.011036659,40000,40000,normal,40,16,1
2,RainbowStaircase,2,111,0.98,0.05,0.018394431,40000,40000,normal,50,16,1
3,RainbowStaircase,2,108,0.98,0.1,0.036788862,40000,40000,normal,65,16,1
4,RainbowStaircase,2,1000,0.98,0.3,0.11036659,40000,40000,normal,178,16,1
0,RainbowStaircase,2,183,0.98,0.01,0.0036788862,40000,40000,normal,44,16,1
1,RainbowStaircase,2,183,0.98,0.03,0.011036659,40000,40000,normal,61,16,1
2,RainbowStaircase,2,166,0.98,0.05,0.018394431,40000,40000,normal,55,16,1
3,RainbowStaircase,2,118,0.98,0.1,0.036788862,40000,40000,normal,70,16,1
4,RainbowStaircase,2,1000,0.98,0.3,0.11036659,40000,40000,normal,180,16,1
