,bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length,run
0,SlavicGrandmaTextil,2,141,0.98,0.01,0.0036788862,40000,40000,normal,25,18,1
1,SlavicGrandmaTextil,2,102,0.98,0.03,0.011036659,40000,40000,normal,27,18,1
2,SlavicGrandmaTextil,2,102,0.98,0.05,0.018394431,40000,40000,normal,29,18,1
3,SlavicGrandmaTextil,2,102,0.98,0.1,0.036788862,40000,40000,normal,32,18,1
4,SlavicGrandmaTextil,2,102,0.98,0.3,0.11036659,40000,40000,normal,66,18,1
0,SlavicGrandmaTextil,2,141,0.98,0.01,0.0036788862,40000,40000,normal,25,18,2
1,SlavicGrandmaTextil,2,102,0.98,0.03,0.011036659,40000,40000,normal,27,18,2
2,SlavicGrandmaTextil,2,102,0.98,0.05,0.018394431,40000,40000,normal,29,18,2
3,SlavicGrandmaTextil,2,102,0.98,0.1,0.036788862,40000,40000,normal,32,18,2
4,SlavicGrandmaTextil,2,102,0.98,0.3,0.11036659,40000,40000,normal,66,18,2
5,SlavicGrandmaTextil,2,116,0.98,0.01,0.0036788862,40000,40000,normal,34,18,3
6,SlavicGrandmaTextil,2,119,0.98,0.03,0.011036659,40000,40000,normal,28,18,3
7,SlavicGrandmaTextil,2,99,0.98,0.05,0.018394431,40000,40000,normal,30,18,3
8,SlavicGrandmaTextil,2,102,0.98,0.1,0.036788862,40000,40000,normal,38,18,3
9,SlavicGrandmaTextil,2,102,0.98,0.3,0.11036659,40000,40000,normal,74,18,3
