,bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length,run
0,PrideRectangle_BR_5,2,1000,0.9,0.05,0.018394431,40000,40000,normal,302,35,1
1,PrideRectangle_BR_5,2,252,0.95,0.05,0.018394431,40000,40000,normal,257,35,1
2,PrideRectangle_BR_5,2,314,0.98,0.05,0.018394431,40000,40000,normal,251,35,1
3,PrideRectangle_BR_5,2,1000,1.0,0.05,0.018394431,40000,40000,normal,295,35,1
4,PrideRectangle_BR_5,2,274,0.9,0.05,0.018394431,40000,40000,normal,211,35,3
5,PrideRectangle_BR_5,2,218,0.95,0.05,0.018394431,40000,40000,normal,266,35,3
6,PrideRectangle_BR_5,2,304,0.98,0.05,0.018394431,40000,40000,normal,252,35,3
7,PrideRectangle_BR_5,2,1000,1.0,0.05,0.018394431,40000,40000,normal,246,35,3
0,PrideRectangle_BR_5,2,361,0.9,0.05,0.018394431,40000,40000,normal,264,35,2
1,PrideRectangle_BR_5,2,316,0.95,0.05,0.018394431,40000,40000,normal,267,35,2
2,PrideRectangle_BR_5,2,504,0.98,0.05,0.018394431,40000,40000,normal,262,35,2
3,PrideRectangle_BR_5,2,1000,1.0,0.05,0.018394431,40000,40000,normal,259,35,2
0,PrideRectangle_BR_3,2,176,0.9,0.05,0.018394431,40000,40000,normal,137,21,1
1,PrideRectangle_BR_3,2,1000,0.95,0.05,0.018394431,40000,40000,normal,148,21,1
2,PrideRectangle_BR_3,2,196,0.98,0.05,0.018394431,40000,40000,normal,154,21,1
3,PrideRectangle_BR_3,2,1000,1.0,0.05,0.018394431,40000,40000,normal,196,21,1
0,PrideRectangle_BR_1,2,92,0.9,0.05,0.018394431,40000,40000,normal,20,7,3
1,PrideRectangle_BR_1,2,98,0.95,0.05,0.018394431,40000,40000,normal,19,7,3
2,PrideRectangle_BR_1,2,92,0.98,0.05,0.018394431,40000,40000,normal,17,7,3
3,PrideRectangle_BR_1,2,1000,1.0,0.05,0.018394431,40000,40000,normal,59,7,3
0,PrideRectangle_BR_1,2,98,0.9,0.05,0.018394431,40000,40000,normal,23,7,2
1,PrideRectangle_BR_1,2,126,0.95,0.05,0.018394431,40000,40000,normal,18,7,2
2,PrideRectangle_BR_1,2,94,0.98,0.05,0.018394431,40000,40000,normal,17,7,2
3,PrideRectangle_BR_1,2,147,1.0,0.05,0.018394431,40000,40000,normal,36,7,2
0,PrideRectangle_BR_1,2,96,0.9,0.05,0.018394431,40000,40000,normal,17,7,1
1,PrideRectangle_BR_1,2,108,0.95,0.05,0.018394431,40000,40000,normal,22,7,1
2,PrideRectangle_BR_1,2,92,0.98,0.05,0.018394431,40000,40000,normal,15,7,1
3,PrideRectangle_BR_1,2,1000,1.0,0.05,0.018394431,40000,40000,normal,64,7,1
0,PrideRectangle_BR_3,2,1000,0.9,0.05,0.018394431,40000,40000,normal,168,21,3
1,PrideRectangle_BR_3,2,1000,0.95,0.05,0.018394431,40000,40000,normal,137,21,3
2,PrideRectangle_BR_3,2,226,0.98,0.05,0.018394431,40000,40000,normal,137,21,3
3,PrideRectangle_BR_3,2,204,1.0,0.05,0.018394431,40000,40000,normal,123,21,3
0,PrideRectangle_BR_3,2,214,0.9,0.05,0.018394431,40000,40000,normal,135,21,2
1,PrideRectangle_BR_3,2,247,0.95,0.05,0.018394431,40000,40000,normal,126,21,2
2,PrideRectangle_BR_3,2,232,0.98,0.05,0.018394431,40000,40000,normal,132,21,2
3,PrideRectangle_BR_3,2,1000,1.0,0.05,0.018394431,40000,40000,normal,216,21,2
