,bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length,run
0,RainbowStaircase,2,214,0.9,0.05,0.018394431,40000,40000,normal,75,16,1
1,RainbowStaircase,2,184,0.95,0.05,0.018394431,40000,40000,normal,39,16,1
2,RainbowStaircase,2,146,0.98,0.05,0.018394431,40000,40000,normal,44,16,1
3,RainbowStaircase,2,1000,1.0,0.05,0.018394431,40000,40000,normal,130,16,1
4,RainbowStaircase,2,1000,0.9,0.05,0.018394431,40000,40000,normal,60,19,3
5,RainbowStaircase,2,106,0.95,0.05,0.018394431,40000,40000,normal,50,19,3
6,RainbowStaircase,2,112,0.98,0.05,0.018394431,40000,40000,normal,43,19,3
7,RainbowStaircase,2,1000,1.0,0.05,0.018394431,40000,40000,normal,163,19,3
0,RainbowStaircase,2,112,0.9,0.05,0.018394431,40000,40000,normal,57,19,2
1,RainbowStaircase,2,150,0.95,0.05,0.018394431,40000,40000,normal,58,19,2
2,RainbowStaircase,2,184,0.98,0.05,0.018394431,40000,40000,normal,50,19,2
3,RainbowStaircase,2,245,1.0,0.05,0.018394431,40000,40000,normal,88,19,2
